30: Number of weighted directed graphs with negative weights.

** G0: |V|=7
(u, v, weight) E = { 
      (18,  3, 56.897)
      (18, 22, 35.960)
      (19,  7, 74.004)
      (19, 15, 85.262)
      (20,  2, 54.102)
      (20, 16, 71.350)
      (20, 21, 15.980)
      (21,  4, 77.299)
      (21,  7, 56.120)
      (21, 13, 47.530)
      (21, 16, 40.130)
      (21, 20, 48.227)
      (21, 22, 21.776)
      (22, 16, 14.509)
      (22, 21, 65.150)
      (23,  2, 33.811)
      (23, 17, -0.831)
      (23, 18, 70.854)
      (24,  2, 26.854)
      (24,  3, 35.604)
      (24,  6, 45.223)
      (24,  9, 62.305)
      (24, 16, 24.280)
      (24, 19, 20.495)
      (24, 23, 73.581) } |E|=119 
---------------- 

** G9: |V|=25
(u, v, weight) E = { 
      ( 0,  2, 62.388)
      ( 0, 13, 43.825)
      ( 0, 15,  5.364)
      ( 0, 21, 19.198)
      ( 1,  3, 23.049)
      ( 1, 12, 43.860)
      ( 1, 16, -1.782)
      ( 1, 20, 80.876)
      ( 2, 15, 51.812)
      ( 2, 16, 16.960)
      ( 2, 24, 92.424)
      ( 3,  4, 36.263)
      ( 3,  7, 36.666)
      ( 3, 14, 47.018)
      ( 3, 19,  8.262)
      ( 3, 20, -0.115)
      ( 4, 13,  9.352)
      ( 4, 14, 74.859)
      ( 4, 15, 75.845)
      ( 4, 20, 56.128)
      ( 4, 23, 60.517)
      ( 4, 24, 27.176)
      ( 5,  8, 35.815)
      ( 5, 12, -4.869)
      ( 5, 24, 19.058)
      ( 6, 14, 46.524)
      ( 6, 19,  3.423)
      ( 7,  3, 21.855)
      ( 7,  5, 63.675)
      ( 7, 10,  2.563)
      ( 7, 14,  9.523)
      ( 7, 16, 90.217)
      ( 8,  3, 43.986)
      ( 8,  4, 22.773)
      ( 8,  6, 49.553)
      ( 8, 16, 42.051)
      ( 8, 17, 51.729)
      ( 8, 23, 81.074)
      ( 9,  1, 75.888)
      ( 9,  4,  6.979)
      ( 9, 13, 58.448)
      ( 9, 15, 35.025)
      ( 9, 17, 76.718)
      ( 9, 19, 34.624)
      ( 9, 20, 30.203)
      ( 9, 23, 50.297)
      (10,  2, 72.101)
      (10,  3, 16.696)
      (10,  8, 27.650)
      (10, 17,  8.583)
      (10, 18,  1.401)
      (10, 21, 32.303)
      (11,  2, 55.659)
      (11,  4, 20.741)
      (11,  5, 80.163)
      (11,  9, 69.762)
      (11, 14, 48.825)
      (11, 17, 27.165)
      (11, 18,  7.930)
      (11, 19, 78.768)
      (12,  1,  5.201)
      (12, 20, 10.663)
      (13, 17, 39.698)
      (13, 19, 36.951)
      (13, 22, 39.227)
      (14,  4, 62.907)
      (14,  6, 36.172)
      (14,  7, 88.920)
      (14,  8, 42.520)
      (14, 11, 86.071)
      (14, 18, 44.426)
      (14, 19, 88.911)
      (15,  2,  5.503)
      (15,  5, 91.223)
      (15,  6, 77.358)
      (15, 10,  4.303)
      (15, 24,  3.122)
      (16,  3, 26.625)
      (16, 18, 62.302)
      (17,  1, 68.761)
      (17,  4, 32.292)
      (17,  5, 14.547)
      (17, 19, 88.452)
      (17, 21, 13.399)
      (18,  5,  7.173)
      (18, 15, -6.687)
      (18, 20, 13.995)
      (18, 22, 79.175)
      (19,  5, 41.518)
      (19, 15, 49.880)
      (19, 18, 34.842)
      (19, 23, 62.643)
      (20,  2, 82.381)
      (20,  3, 23.633)
      (20,  7, 35.092)
      (20,  8, 10.353)
      (20, 14, 89.168)
      (20, 17,  7.123)
      (20, 19, -12.289)
      (20, 24, 52.525)
      (21,  8, 85.622)
      (21, 11, 63.905)
      (21, 12, 30.749)
      (21, 13, 87.077)
      (21, 18,  9.903)
      (22,  0,  6.413)
      (22,  3, -5.709)
      (22, 10,  0.194)
      (22, 11, 47.188)
      (22, 17, -3.371)
      (23,  0, 39.904)
      (23,  2, 22.146)
      (23,  5, 74.165)
      (23,  6, 68.835)
      (23, 15, 70.442)
      (23, 18, 85.018)
      (23, 20, 39.191)
      (24,  2, 64.321)
      (24, 13, 25.755)
      (24, 23, 45.715) } |E|=120 
---------------- 

** G10: |V|=30
(u, v, weight) E = { 
      ( 0,  3, 17.139)
      ( 0, 10, 24.126)
      ( 0, 11, 69.655)
      ( 0, 13, 64.292)
      ( 0, 19, 57.276)
      ( 0, 29, 79.839)
      ( 1,  0, 72.932)
      ( 1,  2, 33.692)
      ( 1, 13, 79.955)
      ( 1, 18, 51.909)
      ( 1, 23, 62.858)
      ( 1, 24, 82.433)
      ( 2,  8, 73.964)
      ( 2, 11, -0.366)
      ( 2, 13, 43.304)
      ( 2, 14, -15.424)
      ( 2, 19, 11.312)
      ( 2, 22, 19.740)
      ( 3,  9, 57.240)
      ( 3, 24, -0.817)
      ( 3, 28, 76.605)
      ( 4,  2, 32.925)
      ( 4,  3, 59.180)
      ( 4,  5, 66.934)
      ( 4,  9, 29.103)
      ( 4, 12, 28.225)
      ( 4, 24, 19.815)
      ( 4, 25, 42.543)
      ( 5,  1, 66.829)
      ( 5,  3, 13.220)
      ( 5,  4, 43.368)
      ( 5, 12, 10.856)
      ( 5, 23, 67.794)
      ( 6,  0, 68.478)
      ( 6,  1,  3.601)
      ( 6,  7, 23.194)
      ( 6, 13, 44.257)
      ( 6, 17, 31.474)
      ( 6, 22, 74.527)
      ( 7,  1, 76.819)
      ( 7, 16, 68.777)
      ( 7, 20, 55.099)
      ( 7, 24, 48.429)
      ( 7, 25, 48.590)
      ( 8,  2, 72.793)
      ( 8, 15, 23.821)
      ( 8, 21, 71.969)
      ( 8, 25, 26.409)
      ( 9,  1, 91.646)
      ( 9,  4, 36.636)
      ( 9,  6, 72.943)
      ( 9, 11, 78.834)
      ( 9, 14,  0.939)
      ( 9, 20, -12.102)
      (10,  9, 75.126)
      (10, 14, 59.937)
      (10, 16, 18.244)
      (10, 17, -14.495)
      (10, 20,  4.336)
      (10, 21, 26.381)
      (11,  9, 76.952)
      (11, 10, 67.818)
      (11, 12, 84.873)
      (11, 13, 91.201)
      (11, 16, 61.470)
      (11, 21, 54.811)
      (12,  0, 89.399)
      (12,  6, 86.283)
      (12, 25, 61.967)
      (12, 28, -3.180)
      (13,  4, 50.731)
      (13,  5, 25.586)
      (13,  8, 47.090)
      (13, 15,  5.714)
      (13, 24, 40.025)
      (13, 26, 51.768)
      (13, 29,  5.890)
      (14,  5, 54.951)
      (14, 10, 80.312)
      (14, 21, 88.218)
      (14, 23, 62.455)
      (14, 24, 46.714)
      (14, 27, 14.603)
      (15,  0, 64.066)
      (15,  9, 49.363)
      (15, 11, 22.976)
      (15, 16,  0.723)
      (15, 18, 40.276)
      (16,  7, 98.089)
      (16, 17, 65.003)
      (16, 20, 75.661)
      (16, 23, 17.616)
      (16, 27, 10.425)
      (17,  2, 56.785)
      (17,  4, 68.276)
      (17, 11, 33.219)
      (17, 15, 77.310)
      (17, 22, 41.695)
      (18,  5, 84.146)
      (18, 11, 32.534)
      (18, 22,  7.967)
      (18, 25,  2.542)
      (19,  0, 55.806)
      (19, 11, 43.017)
      (19, 14, -5.795)
      (19, 20, 32.057)
      (20,  6,  5.480)
      (20, 13, 16.194)
      (20, 14, 57.163)
      (20, 16, 91.904)
      (20, 18, 70.231)
      (20, 23, 25.941)
      (20, 26, 39.363)
      (21,  0, 78.826)
      (21,  2, -13.481)
      (21, 10, 10.931)
      (21, 19, 60.959)
      (21, 22, -15.699)
      (21, 26, 58.776)
      (22,  0, 49.123)
      (22,  1, -0.113)
      (22,  3, -11.523)
      (22,  5, 56.192)
      (22,  9, 20.017)
      (22, 12, 58.401)
      (22, 17, 69.660)
      (22, 29, 80.187)
      (23,  1, 70.621)
      (23,  2, 38.461)
      (23,  4, 65.134)
      (23,  6, 31.692)
      (23, 15, 36.545)
      (23, 22, 12.562)
      (23, 26, 12.835)
      (24, 13, 44.898)
      (24, 15, 64.270)
      (24, 17, 59.119)
      (24, 25, 52.263)
      (24, 27, 79.811)
      (25,  8, 21.185)
      (25, 13,  2.076)
      (25, 15, 19.996)
      (25, 16, 83.674)
      (25, 21, 81.840)
      (26,  1, -4.045)
      (26,  2, 40.967)
      (26,  5, 61.091)
      (26,  8, 46.925)
      (26, 10, 14.338)
      (26, 11, 22.727)
      (27,  0, -0.781)
      (27,  5, 21.146)
      (27,  6,  5.286)
      (27,  7, 24.191)
      (27, 15, 60.157)
      (27, 19, 36.329)
      (27, 22, 28.827)
      (27, 25, -4.360)
      (27, 28, 51.625)
      (28,  6,  2.132)
      (28,  7, -1.092)
      (28, 14, 63.542)
      (29,  0, 36.257)
      (29,  5, 91.618)
      (29,  7, 66.249)
      (29, 10, 15.592)
      (29, 18, 49.094)
      (29, 20, 71.503) } |E|=168 
---------------- 

** G11: |V|=30
(u, v, weight) E = { 
      ( 0,  1, -3.185)
      ( 0,  4, 74.535)
      ( 0,  6, 55.039)
      ( 0,  8, 72.114)
      ( 0, 11, 36.320)
      ( 0, 12, 71.808)
      ( 0, 18, 29.237)
      ( 0, 20, 38.489)
      ( 0, 26, 29.515)
      ( 0, 27,  6.982)
      ( 1,  0, -7.104)
      ( 1,  3, 51.389)
      ( 1,  7, 68.171)
      ( 1, 10, -8.489)
      ( 1, 11, 22.353)
      ( 1, 15, 37.170)
      ( 1, 16, 86.252)
      ( 1, 17, 13.182)
      ( 1, 25, 14.229)
      ( 1, 28, 56.508)
      ( 2,  5, 59.566)
      ( 2, 13, 64.072)
      ( 2, 14, 78.629)
      ( 2, 16, 45.078)
      ( 2, 17, 65.241)
      ( 2, 19, 53.045)
      ( 2, 20, 37.682)
      ( 2, 24, 16.847)
      ( 2, 26, 14.328)
      ( 3,  1, 15.571)
      ( 3,  7, 54.148)
      ( 3, 12, 87.076)
      ( 3, 16, 47.089)
      ( 3, 23, 56.460)
      ( 3, 24,  2.203)
      ( 4,  0, 43.237)
      ( 4,  1, 57.563)
      ( 4,  3, 43.123)
      ( 4,  7, 86.760)
      ( 4, 20, 94.551)
      ( 4, 21, 74.675)
      ( 4, 23, 70.228)
      ( 5,  1,  6.303)
      ( 5,  6,  1.930)
      ( 5, 12, 20.328)
      ( 5, 18, 16.308)
      ( 5, 24, 67.066)
      ( 5, 26, 11.238)
      ( 6, 15, 63.616)
      ( 6, 16, 67.333)
      ( 6, 21, -17.573)
      ( 6, 25, 63.117)
      ( 7,  2, 10.868)
      ( 7,  6, -14.812)
      ( 7, 10, 60.521)
      ( 7, 15, 58.533)
      ( 7, 20, 51.099)
      ( 7, 23, 32.852)
      ( 8, 23, 66.271)
      ( 8, 27, 68.483)
      ( 8, 28, 14.356)
      ( 8, 29, 15.977)
      ( 9,  2, 73.877)
      ( 9,  7, 12.838)
      ( 9, 15, 77.420)
      ( 9, 18, 71.663)
      ( 9, 21, 56.859)
      ( 9, 22,  6.063)
      ( 9, 26, 85.222)
      (10,  2, 78.141)
      (10,  8, 64.199)
      (10, 12, 47.088)
      (10, 17, 22.280)
      (10, 19, 80.699)
      (11,  2, 48.392)
      (11,  4, 45.712)
      (11,  5, 52.667)
      (11, 12, 51.776)
      (11, 17, 48.048)
      (11, 18, 54.716)
      (11, 19, 53.755)
      (11, 20, 87.754)
      (11, 24, 28.528)
      (11, 29, 26.229)
      (12,  0,  8.930)
      (12, 20, 84.899)
      (12, 21, 24.427)
      (13,  8, 18.113)
      (13, 17, -9.025)
      (13, 18, 57.792)
      (14,  0, 83.641)
      (14,  8, -0.228)
      (14, 13, 54.490)
      (14, 21, 12.130)
      (14, 28, 68.162)
      (15,  1, 22.745)
      (15,  3, 69.910)
      (15, 19, 79.296)
      (15, 20, -11.311)
      (15, 22, 78.211)
      (15, 24, -15.727)
      (16, 12, 33.734)
      (17,  0, 86.401)
      (17,  3, -0.216)
      (17,  4, 50.608)
      (17,  7, 14.127)
      (17,  9, 45.863)
      (17, 10, 45.490)
      (17, 12, 75.337)
      (17, 13, -4.445)
      (17, 20,  5.198)
      (17, 25, -7.416)
      (18, 11, 46.707)
      (18, 12, 66.305)
      (18, 16, 43.866)
      (18, 17, -0.590)
      (19,  4, 68.585)
      (19, 11, 39.491)
      (19, 15, 31.839)
      (19, 17, 21.195)
      (19, 21, 34.302)
      (19, 22, 56.235)
      (19, 25, 62.047)
      (19, 28, 18.030)
      (20,  4, 37.169)
      (20,  5, 11.051)
      (20,  6, 10.953)
      (20,  7, -2.576)
      (20,  8, 84.726)
      (20, 10, 73.567)
      (20, 12, 36.268)
      (20, 18, 52.587)
      (20, 27,  7.958)
      (21, 10, 60.335)
      (21, 13, 54.919)
      (21, 16, 60.441)
      (21, 18, 60.600)
      (21, 20, 56.085)
      (21, 25, -7.287)
      (21, 26, 30.639)
      (22,  3, 56.991)
      (22, 14, 39.596)
      (22, 17, 40.025)
      (22, 20, 12.468)
      (22, 27, 50.383)
      (23,  7, 46.961)
      (23, 13,  9.657)
      (23, 14, 37.989)
      (23, 22, 33.882)
      (23, 27, 85.501)
      (23, 29, 77.137)
      (24,  6, 81.762)
      (24, 10,  6.201)
      (24, 18, -8.033)
      (24, 29, 46.384)
      (25,  0,  5.547)
      (25,  1,  5.108)
      (25, 10, 51.303)
      (25, 11, 22.559)
      (25, 14,  6.472)
      (25, 18, 45.657)
      (25, 21, 79.018)
      (25, 27, -9.880)
      (26,  1, 33.533)
      (26,  3, 81.689)
      (26,  4, 76.823)
      (26,  6, 24.911)
      (26, 10, 56.320)
      (26, 27,  4.264)
      (27,  8, 34.879)
      (27,  9, 94.500)
      (27, 11, 76.713)
      (27, 13, 17.125)
      (27, 21, 18.129)
      (27, 22, 37.662)
      (27, 29, 80.953)
      (28,  1, -3.532)
      (28,  2, 61.896)
      (28,  7, 73.242)
      (28, 13, 47.494)
      (28, 15, 48.226)
      (28, 21, 23.811)
      (28, 29, 42.159)
      (29,  2, 24.716)
      (29,  7, 50.867)
      (29, 10, -18.365)
      (29, 12, 15.382)
      (29, 13, -6.834) } |E|=188 
---------------- 

** G12: |V|=35
(u, v, weight) E = { 
      ( 0, 24, 37.779)
      ( 0, 31, 68.378)
      ( 1,  3, 86.223)
      ( 1,  5, -7.055)
      ( 1,  6, 74.555)
      ( 1, 10, 27.367)
      ( 1, 12, 45.468)
      ( 1, 33, 50.152)
      ( 2,  7, 69.116)
      ( 2, 19, 77.586)
      ( 2, 20, 15.628)
      ( 2, 25, 47.991)
      ( 2, 28, 31.574)
      ( 2, 32, 30.894)
